,reference_distance,mesured_distance,signal_strength,delta
180,129.46,130.1,-94.97,0.6399999999999864
181,129.46,130.06,-95.05,0.5999999999999943
182,129.46,130.1,-95.76,0.6399999999999864
183,129.46,130.04,-95.51,0.5799999999999841
184,129.46,130.06,-95.33,0.5999999999999943
185,129.46,130.1,-95.33,0.6399999999999864
186,129.46,130.08,-94.18,0.6200000000000045
187,129.46,130.09,-92.91,0.6299999999999955
188,129.46,130.09,-92.64,0.6299999999999955
189,129.46,130.08,-92.46,0.6200000000000045
190,129.46,130.08,-92.08,0.6200000000000045
191,129.46,130.1,-92.89,0.6399999999999864
192,129.46,130.11,-92.56,0.6500000000000057
193,129.46,130.1,-92.78,0.6399999999999864
194,129.46,130.11,-92.79,0.6500000000000057
195,129.46,130.13,-92.66,0.6699999999999875
196,129.46,130.11,-92.97,0.6500000000000057
197,129.46,130.11,-92.71,0.6500000000000057
198,129.46,130.1,-92.22,0.6399999999999864
199,129.46,130.12,-92.99,0.6599999999999966
200,129.46,130.09,-93.81,0.6299999999999955
201,129.46,130.05,-94.54,0.5900000000000034
202,129.46,130.1,-93.9,0.6399999999999864
203,129.46,130.09,-94.19,0.6299999999999955
204,129.46,130.1,-92.9,0.6399999999999864
205,129.46,130.11,-94.02,0.6500000000000057
206,129.46,130.1,-93.34,0.6399999999999864
207,135.946,136.58,-95.9,0.6340000000000146
208,135.946,136.54,-96.4,0.5939999999999941
209,135.946,136.6,-95.83,0.6539999999999964
210,135.946,136.56,-95.98,0.6140000000000043
211,135.946,136.57,-95.42,0.6239999999999952
212,135.946,136.51,-95.18,0.563999999999993
213,135.946,136.55,-95.03,0.6040000000000134
214,135.946,136.54,-94.94,0.5939999999999941
215,135.946,136.6,-95.02,0.6539999999999964
216,135.946,136.6,-94.95,0.6539999999999964
217,135.946,136.55,-94.66,0.6040000000000134
218,135.946,136.6,-94.42,0.6539999999999964
219,135.946,136.63,-94.63,0.6839999999999975
220,135.946,136.6,-94.85,0.6539999999999964
221,135.946,136.55,-95.04,0.6040000000000134
222,135.946,136.61,-94.96,0.6640000000000157
223,135.946,136.64,-95.14,0.6939999999999884
224,135.946,136.54,-95.32,0.5939999999999941
225,135.946,136.59,-95.14,0.6440000000000055
226,135.946,136.59,-94.91,0.6440000000000055
227,135.946,136.67,-94.85,0.7239999999999895
228,135.946,136.54,-95.01,0.5939999999999941
229,135.946,136.58,-95.05,0.6340000000000146
230,135.946,136.59,-95.47,0.6440000000000055
231,135.946,136.64,-95.49,0.6939999999999884
232,135.946,136.6,-95.76,0.6539999999999964
233,135.946,136.62,-95.84,0.6740000000000066
234,135.946,136.61,-95.99,0.6640000000000157
235,135.946,136.62,-95.95,0.6740000000000066
236,135.946,136.58,-94.83,0.6340000000000146
237,140.728,141.38,-91.84,0.6519999999999868
238,140.728,141.37,-92.12,0.6419999999999959
239,140.728,141.4,-92.04,0.671999999999997
240,140.728,141.38,-91.6,0.6519999999999868
241,140.728,141.39,-91.53,0.6619999999999777
242,140.728,141.36,-91.83,0.632000000000005
243,140.728,141.37,-91.97,0.6419999999999959
244,140.728,141.39,-92.08,0.6619999999999777
245,140.728,141.38,-92.1,0.6519999999999868
246,140.728,141.37,-92.19,0.6419999999999959
247,140.728,141.41,-92.55,0.681999999999988
248,140.728,141.42,-92.12,0.6919999999999789
249,140.728,141.39,-91.95,0.6619999999999777
250,140.728,141.42,-92.12,0.6919999999999789
251,140.728,141.39,-91.78,0.6619999999999777
252,140.728,141.4,-92.06,0.671999999999997
253,140.728,141.36,-91.91,0.632000000000005
254,140.728,141.39,-91.6,0.6619999999999777
255,140.728,141.41,-91.8,0.681999999999988
256,140.728,141.39,-92.04,0.6619999999999777
257,140.728,141.41,-91.79,0.681999999999988
258,140.728,141.38,-91.95,0.6519999999999868
259,140.728,141.34,-92.04,0.6119999999999948
260,140.728,141.4,-91.71,0.671999999999997
261,140.728,141.38,-91.76,0.6519999999999868
262,140.728,141.42,-91.93,0.6919999999999789
263,140.728,141.41,-91.84,0.681999999999988
264,140.728,141.38,-91.86,0.6519999999999868
265,140.728,141.39,-91.65,0.6619999999999777
266,140.728,141.36,-91.64,0.632000000000005
267,143.425,144.07,-94.13,0.6449999999999818
268,143.425,144.13,-94.43,0.7049999999999841
269,143.425,144.13,-94.23,0.7049999999999841
270,143.425,144.06,-94.58,0.6349999999999909
271,143.425,144.12,-93.79,0.6949999999999932
272,143.425,144.14,-94.39,0.714999999999975
273,143.425,144.07,-93.69,0.6449999999999818
274,143.425,144.09,-94.3,0.664999999999992
275,143.425,144.12,-94.48,0.6949999999999932
276,143.425,144.06,-94.43,0.6349999999999909
277,143.425,144.08,-94.52,0.6550000000000011
278,143.425,144.13,-94.46,0.7049999999999841
279,143.425,144.08,-94.01,0.6550000000000011
280,143.425,144.08,-94.29,0.6550000000000011
281,143.425,144.17,-94.26,0.7449999999999761
282,143.425,144.09,-94.5,0.664999999999992
283,143.425,144.13,-94.0,0.7049999999999841
284,143.425,144.15,-94.47,0.7249999999999943
285,143.425,144.1,-94.22,0.674999999999983
286,143.425,144.12,-94.17,0.6949999999999932
287,143.425,144.15,-94.4,0.7249999999999943
288,143.425,144.11,-94.17,0.6850000000000023
289,143.425,144.12,-94.41,0.6949999999999932
290,143.425,144.14,-94.35,0.714999999999975
291,143.425,144.12,-94.11,0.6949999999999932
292,143.425,144.07,-93.5,0.6449999999999818
293,143.425,144.1,-93.95,0.674999999999983
294,143.425,144.15,-94.09,0.7249999999999943
295,143.425,144.05,-94.17,0.625
296,143.425,144.05,-94.35,0.625
297,15.139,15.41,-85.73,0.2710000000000008
298,15.139,15.41,-85.6,0.2710000000000008
299,15.139,15.42,-85.76,0.2810000000000006
300,15.139,15.41,-85.68,0.2710000000000008
301,15.139,15.41,-86.47,0.2710000000000008
302,15.139,15.4,-85.5,0.261000000000001
303,15.139,15.41,-85.24,0.2710000000000008
304,15.139,15.41,-84.99,0.2710000000000008
305,15.139,15.39,-85.72,0.2510000000000012
306,15.139,15.4,-86.28,0.261000000000001
307,15.139,15.41,-85.43,0.2710000000000008
308,15.139,15.42,-85.73,0.2810000000000006
309,15.139,15.43,-85.33,0.29100000000000037
310,15.139,15.41,-85.56,0.2710000000000008
311,15.139,15.42,-85.76,0.2810000000000006
312,15.139,15.44,-85.16,0.30100000000000016
313,15.139,15.42,-85.56,0.2810000000000006
314,15.139,15.41,-85.09,0.2710000000000008
315,15.139,15.42,-84.88,0.2810000000000006
316,15.139,15.44,-86.05,0.30100000000000016
317,15.139,15.42,-85.02,0.2810000000000006
318,15.139,15.41,-85.56,0.2710000000000008
319,15.139,15.41,-84.97,0.2710000000000008
320,15.139,15.41,-85.41,0.2710000000000008
321,15.139,15.41,-85.2,0.2710000000000008
322,15.139,15.41,-85.75,0.2710000000000008
323,15.139,15.43,-84.98,0.29100000000000037
324,15.139,15.42,-85.52,0.2810000000000006
325,15.139,15.4,-85.81,0.261000000000001
326,15.139,15.42,-85.17,0.2810000000000006
327,2.037,2.29,-78.39,0.2530000000000001
328,2.037,2.2,-80.24,0.16300000000000026
329,2.037,2.3,-79.72,0.2629999999999999
330,2.037,2.27,-79.64,0.2330000000000001
331,2.037,2.24,-79.28,0.2030000000000003
332,2.037,2.32,-79.6,0.2829999999999999
333,2.037,2.22,-79.87,0.18300000000000027
334,2.037,2.19,-79.94,0.15300000000000002
335,2.037,2.27,-80.13,0.2330000000000001
336,2.037,2.25,-80.03,0.21300000000000008
337,2.037,2.27,-80.18,0.2330000000000001
338,2.037,2.23,-79.85,0.19300000000000006
339,2.037,2.23,-80.51,0.19300000000000006
340,2.037,2.34,-79.67,0.30299999999999994
341,2.037,2.29,-80.08,0.2530000000000001
342,2.037,2.17,-80.5,0.133
343,2.037,2.2,-80.72,0.16300000000000026
344,2.037,2.26,-80.72,0.22299999999999986
345,2.037,2.17,-80.8,0.133
346,2.037,2.22,-81.19,0.18300000000000027
347,2.037,2.23,-80.14,0.19300000000000006
348,2.037,2.3,-80.72,0.2629999999999999
349,2.037,2.21,-80.2,0.17300000000000004
350,2.037,2.16,-80.43,0.12300000000000022
351,2.037,2.29,-80.01,0.2530000000000001
352,2.037,2.21,-79.77,0.17300000000000004
353,2.037,2.23,-80.76,0.19300000000000006
354,2.037,2.29,-79.51,0.2530000000000001
355,2.037,2.26,-80.64,0.22299999999999986
356,2.991,3.16,-79.68,0.16900000000000004
357,2.991,3.15,-80.35,0.1589999999999998
358,2.991,3.12,-80.13,0.129
359,2.991,3.27,-80.42,0.2789999999999999
360,2.991,3.13,-80.65,0.1389999999999998
361,2.991,3.18,-80.76,0.18900000000000006
362,2.991,3.27,-80.33,0.2789999999999999
363,2.991,3.13,-79.89,0.1389999999999998
364,2.991,3.13,-80.01,0.1389999999999998
365,2.991,3.07,-80.21,0.07899999999999974
366,2.991,3.16,-80.13,0.16900000000000004
367,2.991,3.14,-79.96,0.14900000000000002
368,2.991,3.19,-80.03,0.19899999999999984
369,2.991,3.19,-80.16,0.19899999999999984
370,2.991,3.21,-80.08,0.21899999999999986
371,2.991,3.17,-79.95,0.17899999999999983
372,2.991,3.15,-79.88,0.1589999999999998
373,2.991,3.05,-80.24,0.05899999999999972
374,2.991,3.21,-79.86,0.21899999999999986
375,2.991,3.2,-80.29,0.20900000000000007
376,2.991,3.05,-80.31,0.05899999999999972
377,2.991,3.17,-79.85,0.17899999999999983
378,2.991,3.11,-79.62,0.11899999999999977
379,2.991,3.16,-80.23,0.16900000000000004
380,2.991,3.24,-79.88,0.2490000000000001
381,2.991,3.17,-79.77,0.17899999999999983
382,2.991,3.1,-79.86,0.10899999999999999
383,2.991,3.18,-79.85,0.18900000000000006
384,2.991,3.24,-79.81,0.2490000000000001
385,2.991,3.16,-79.73,0.16900000000000004
386,20.718,21.14,-87.53,0.4220000000000006
387,20.718,21.13,-87.85,0.41199999999999903
388,20.718,21.17,-86.85,0.45200000000000173
389,20.718,21.2,-87.54,0.4819999999999993
390,20.718,21.18,-86.59,0.46199999999999974
391,20.718,21.14,-86.75,0.4220000000000006
392,20.718,21.17,-87.31,0.45200000000000173
393,20.718,21.19,-86.51,0.4720000000000013
394,20.718,21.17,-87.09,0.45200000000000173
395,20.718,21.15,-87.56,0.4319999999999986
396,20.718,21.21,-86.88,0.4920000000000009
397,20.718,21.16,-87.02,0.44200000000000017
398,20.718,21.19,-87.35,0.4720000000000013
399,20.718,21.21,-88.09,0.4920000000000009
400,20.718,21.17,-87.51,0.45200000000000173
401,20.718,21.16,-88.05,0.44200000000000017
402,20.718,21.17,-88.59,0.45200000000000173
403,20.718,21.15,-88.36,0.4319999999999986
404,20.718,21.15,-87.13,0.4319999999999986
405,20.718,21.16,-87.32,0.44200000000000017
406,20.718,21.16,-88.66,0.44200000000000017
407,20.718,21.16,-86.96,0.44200000000000017
408,20.718,21.16,-88.8,0.44200000000000017
409,20.718,21.15,-88.45,0.4319999999999986
410,20.718,21.21,-87.28,0.4920000000000009
411,20.718,21.12,-87.66,0.402000000000001
412,20.718,21.16,-89.11,0.44200000000000017
413,20.718,21.14,-87.98,0.4220000000000006
414,20.718,21.15,-86.62,0.4319999999999986
415,20.718,21.13,-88.26,0.41199999999999903
416,25.78,26.09,-85.71,0.3099999999999987
417,25.78,26.09,-86.52,0.3099999999999987
418,25.78,26.11,-86.72,0.3299999999999983
419,25.78,26.1,-85.86,0.3200000000000003
420,25.78,26.13,-86.34,0.34999999999999787
421,25.78,26.13,-84.87,0.34999999999999787
422,25.78,26.1,-85.07,0.3200000000000003
423,25.78,26.1,-85.24,0.3200000000000003
424,25.78,26.14,-84.78,0.35999999999999943
425,25.78,26.15,-85.55,0.36999999999999744
426,25.78,26.11,-86.28,0.3299999999999983
427,25.78,26.15,-85.24,0.36999999999999744
428,25.78,26.09,-86.99,0.3099999999999987
429,25.78,26.12,-86.48,0.33999999999999986
430,25.78,26.08,-86.9,0.29999999999999716
431,25.78,26.12,-84.86,0.33999999999999986
432,25.78,26.12,-84.69,0.33999999999999986
433,25.78,26.11,-85.59,0.3299999999999983
434,25.78,26.11,-86.68,0.3299999999999983
435,25.78,26.08,-86.43,0.29999999999999716
436,25.78,26.11,-86.68,0.3299999999999983
437,25.78,26.13,-86.42,0.34999999999999787
438,25.78,26.09,-87.84,0.3099999999999987
439,25.78,26.1,-87.66,0.3200000000000003
440,25.78,26.1,-87.69,0.3200000000000003
441,25.78,26.08,-86.3,0.29999999999999716
442,25.78,26.08,-85.33,0.29999999999999716
443,25.78,26.11,-85.78,0.3299999999999983
444,25.78,26.13,-85.5,0.34999999999999787
445,25.78,26.09,-85.6,0.3099999999999987
446,30.598,31.01,-86.02,0.4120000000000026
447,30.598,31.0,-87.98,0.402000000000001
448,30.598,30.98,-85.65,0.38200000000000145
449,30.598,30.99,-86.88,0.39199999999999946
450,30.598,30.99,-86.44,0.39199999999999946
451,30.598,30.97,-87.21,0.3719999999999999
452,30.598,30.99,-87.89,0.39199999999999946
453,30.598,31.0,-87.53,0.402000000000001
454,30.598,31.0,-86.97,0.402000000000001
455,30.598,31.0,-87.06,0.402000000000001
456,30.598,30.99,-86.5,0.39199999999999946
457,30.598,31.0,-87.93,0.402000000000001
458,30.598,30.98,-87.36,0.38200000000000145
459,30.598,30.97,-87.6,0.3719999999999999
460,30.598,31.02,-86.21,0.4220000000000006
461,30.598,30.98,-87.07,0.38200000000000145
462,30.598,31.0,-87.73,0.402000000000001
463,30.598,31.0,-87.85,0.402000000000001
464,30.598,30.98,-87.75,0.38200000000000145
465,30.598,30.98,-87.79,0.38200000000000145
466,30.598,30.98,-88.11,0.38200000000000145
467,30.598,30.98,-87.86,0.38200000000000145
468,30.598,31.0,-86.69,0.402000000000001
469,30.598,30.98,-87.28,0.38200000000000145
470,30.598,31.0,-87.2,0.402000000000001
471,30.598,30.98,-87.12,0.38200000000000145
472,30.598,30.98,-87.63,0.38200000000000145
473,30.598,30.99,-87.95,0.39199999999999946
474,30.598,31.0,-87.24,0.402000000000001
475,30.598,31.01,-87.68,0.4120000000000026
476,35.215,35.83,-90.05,0.6149999999999949
477,35.215,35.81,-90.08,0.5949999999999989
478,35.215,35.76,-90.54,0.5449999999999946
479,35.215,35.84,-90.37,0.625
480,35.215,35.77,-90.06,0.5549999999999997
481,35.215,35.81,-89.73,0.5949999999999989
482,35.215,35.83,-89.09,0.6149999999999949
483,35.215,35.79,-90.16,0.5749999999999957
484,35.215,35.8,-89.92,0.5849999999999937
485,35.215,35.82,-89.39,0.6049999999999969
486,35.215,35.77,-89.67,0.5549999999999997
487,35.215,35.8,-89.74,0.5849999999999937
488,35.215,35.78,-90.29,0.5649999999999977
489,35.215,35.8,-91.08,0.5849999999999937
490,35.215,35.79,-90.95,0.5749999999999957
491,35.215,35.8,-90.11,0.5849999999999937
492,35.215,35.8,-90.63,0.5849999999999937
493,35.215,35.82,-90.39,0.6049999999999969
494,35.215,35.81,-90.65,0.5949999999999989
495,35.215,35.81,-90.92,0.5949999999999989
496,35.215,35.77,-90.67,0.5549999999999997
497,35.215,35.8,-90.91,0.5849999999999937
498,35.215,35.8,-91.11,0.5849999999999937
499,35.215,35.81,-91.15,0.5949999999999989
500,35.215,35.84,-91.02,0.625
501,35.215,35.83,-90.46,0.6149999999999949
502,35.215,35.85,-90.07,0.634999999999998
503,35.215,35.81,-90.0,0.5949999999999989
504,35.215,35.79,-90.14,0.5749999999999957
505,35.215,35.8,-90.09,0.5849999999999937
506,4.054,4.3,-79.49,0.24599999999999955
507,4.054,4.28,-80.88,0.22599999999999998
508,4.054,4.22,-80.51,0.16599999999999948
509,4.054,4.19,-79.88,0.13600000000000012
510,4.054,4.2,-80.12,0.1459999999999999
511,4.054,4.26,-80.83,0.20599999999999952
512,4.054,4.21,-81.14,0.1559999999999997
513,4.054,4.25,-80.32,0.19599999999999973
514,4.054,4.23,-80.58,0.17600000000000016
515,4.054,4.31,-80.49,0.25599999999999934
516,4.054,4.29,-81.91,0.23599999999999977
517,4.054,4.21,-81.65,0.1559999999999997
518,4.054,4.3,-82.18,0.24599999999999955
519,4.054,4.21,-81.51,0.1559999999999997
